Data; 	Dia da Semana; 	Feriado
1/1/18; 	segunda-feira; 	Confraternização Universal
12/2/18; 	segunda-feira; 	Carnaval
13/2/18; 	terça-feira; 	Carnaval
30/3/18; 	sexta-feira; 	Paixão de Cristo
21/4/18; 	sábado; 	Tiradentes
1/5/18; 	terça-feira; 	Dia do Trabalho
31/5/18; 	quinta-feira; 	Corpus Christi
7/9/18; 	sexta-feira; 	Independência do Brasil
12/10/18; 	sexta-feira; 	Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/18; 	sexta-feira; 	Finados
15/11/18; 	quinta-feira; 	Proclamação da República
25/12/18; 	terça-feira; 	Natal
